1, Kohl's, 5715 Edison Ave, Springfield, 24692, IL, 598 348 5987
2, Kohl's, 336 S Blosser Rd, Sacramento, 79140, CA, 862 793 7314
3, Saks Fifth Avenue, 6537 Luneta Plaza, Tallahassee, 74619, FL, 101 786 1593
4, Kohl's, 8488 Lupine St, Austin, 47773, TX, 658 704 5462
5, Saks Fifth Avenue, 3199 N Broadway, Denver, 96766, CO, 407 746 5393
6, Bloomingdale's, 6840 Shady Glade Dr, Phoenix, 65509, AZ, 992 237 7481
7, Bloomingdale's, 1195 St George Pl, Boston, 55246, MA, 178 185 5690
8, Nordstrom Rack, 8292 Snowy Plover Ln, Phoenix, 46005, AZ, 278 955 1484
9, Walmart, 4727 Miguelito Rd, Springfield, 76173, IL, 409 500 1091
10, Nordstrom Rack, 6468 Noroeste Ave, Olympia, 45610, WA, 810 957 9293
11, Bloomingdale's, 831 N Broadway, Tallahassee, 92135, FL, 170 747 7788
12, Saks Off 5th, 9405 Hummel Dr, Phoenix, 41518, AZ, 488 115 8710
13, Macy's, 3419 Dariesa St, Springfield, 56766, IL, 678 289 1604
14, Nordstrom Rack, 991 Stuart Dr, Albany, 77565, NY, 177 509 4214
15, Sears, 9305 N Broadway, Tallahassee, 88142, FL, 335 992 5993
16, Macy's, 7917 Crestmont Ct, Austin, 17454, TX, 691 267 7187
17, JCPenney, 545 Quail Ridge Rd, Austin, 30921, TX, 384 869 1370
18, Target, 2929 N G St, Phoenix, 54551, AZ, 168 168 5972
19, Kohl's, 1858 Atherly Ln, Springfield, 60615, IL, 387 247 4404
20, Sears, 4720 Glen Ln, Boston, 82959, MA, 276 401 5064
21, Kohl's, 7955 Dariesa St, Olympia, 70659, WA, 683 539 9489
22, Kohl's, 2646 Montano Dr, Sacramento, 88534, CA, 237 848 2629
23, Nordstrom Rack, 2780 Lupine St, Atlanta, 68072, GA, 485 533 2019
24, Nordstrom Rack, 2885 Sagan Ct, Springfield, 67592, IL, 942 548 1712
25, Kmart, 4285 Stillwell, Albany, 78857, NY, 932 799 8425
26, Kmart, 1919 Bradley, Denver, 79467, CO, 820 472 2332
27, Nordstrom, 1912 N Ontare Rd, Phoenix, 26654, AZ, 675 854 7072
28, Sears, 6684 Stuart Dr, Denver, 80719, CO, 788 640 7733
29, Bloomingdale's, 7573 Oak Ave, Phoenix, 67125, AZ, 520 977 2422
30, Saks Fifth Avenue, 2003 Hummel Village Cir, Sacramento, 95764, CA, 543 699 3849
31, Saks Off 5th, 9620 St George Pl, Phoenix, 91039, AZ, 512 282 4031
32, JCPenney, 6866 Cedar Vista, Albany, 39579, NY, 648 947 8553
33, Kmart, 7684 Bush Ct, Sacramento, 32103, CA, 682 227 8294
34, Nordstrom, 222 Gemini St, Springfield, 56774, IL, 150 981 2720
35, Saks Fifth Avenue, 7473 Stuart Dr, Tallahassee, 12119, FL, 783 494 3310
36, Macy's, 7816 Glenview Rd, Phoenix, 30862, AZ, 803 804 9810
37, Kohl's, 3839 Glenview Rd, Springfield, 59216, IL, 195 311 8263
38, Nordstrom, 700 Atherly Ln, Austin, 41296, TX, 787 240 9599
39, Walmart, 9578 Elk Grove Rd, Sacramento, 32852, CA, 276 451 3979
40, Walmart, 348 Magnolia St, Denver, 34013, CO, 918 532 8008
41, JCPenney, 9778 S P St, Atlanta, 74544, GA, 695 404 7926
42, Target, 8180 May Ct, Springfield, 74342, IL, 775 544 3460
43, Kohl's, 1700 N Broadway, Sacramento, 78729, CA, 192 350 1433
44, Saks Fifth Avenue, 8408 Tallant Rd, Springfield, 53788, IL, 347 537 5854
45, Kohl's, 2525 Cagney Way, Phoenix, 38354, AZ, 491 502 1538
46, Neiman Marcus, 2296 Hastings Dr, Olympia, 26800, WA, 513 245 3307
47, Nordstrom Rack, 6237 Lemonwood Dr, Olympia, 42439, WA, 697 400 2318
48, Kohl's, 5356 Dublin Ct, Springfield, 62411, IL, 940 570 7426
49, Walmart, 4830 S G St, Albany, 25897, NY, 879 643 5189
50, Macy's, 3665 Cagney Way, Atlanta, 16495, GA, 966 843 3823
51, Walmart, 1277 Crestmont Ct, Denver, 56691, CO, 518 667 3739
52, Target, 607 Lantana Ct, Denver, 42711, CO, 271 371 2466
53, Walmart, 3287 Palomar Cir, Tallahassee, 27238, FL, 911 221 1156
54, Walmart, 3591 Glen Ln, Sacramento, 57187, CA, 153 690 2272
55, Target, 3819 Crestmont Ct, Olympia, 99514, WA, 301 461 2249
56, Target, 7866 Ken Ave, Albany, 11357, NY, 537 280 3392
57, JCPenney, 9863 Princeton Ave, Albany, 89352, NY, 825 206 7973
58, JCPenney, 4685 Edison Ave, Denver, 38648, CO, 539 412 5835
